Column1,Type_Food,Name_Food,ingredint0,ingredint1,ingredint2,ingredint3,ingredint4,ingredint5,ingredint6,ingredint7,ingredint8,ingredint9,ingredint10,ingredint11,ingredint12,ingredint13,ingredint14,ingredint15,ingredint16,ingredint17,ingredint18,ingredint19,ingredint20,ingredint21,ingredint22,ingredint23,ingredint24,ingredint25
0,ยำ,ยำสตรอว์เบอรี่กุ้งสด,กุ้งสด 1 ถ้วย ( แกะเปลือกกุ้งออก ),หมูสับ 5 ช้อนโต้ะ,สตอเบอรี่ หั่นครึ่ง 1 ถ้วย,หอมใหญ่ หั่น 3 ช้อนโต้ะ,ต้นหอม ซอยหยาบๆ 3 ช้อนโต้ะ,มะเขือเทศ หั่น 1 ถ้วย,วุ้นเส้น 1 ถ้วย,น้ำปลา 2 ช้อนโต๊ะ,น้ำตาล 2 ช้อนโต๊ะ,น้ำมะนาว 2 ช้อนโต๊ะ,พริกสด บด 2 ช้อนโต้ะ,,,,,,,,,,,,,,,
1,ยำ,น้ำพริกหมูกรอบ,หมูสามชั้น 2 ขีด,หอมแดง  3 หัว,กระเทียม 3 หัว,พริกแห้ง 10 เม็ด,น้ำตาลปี๊บ 1 ช้อนโต้ะ,ใบมะกรูด 3 ใบนำมาซอยเล็กๆ,น้ำปลา 1 ช้อนโต้ะ,น้ำมะขามเปียก 1 ช้อนโต้ะ,พริกแกงเผ็ด 1 ช้อนโต้ะ,กุ้งแห้ง 1 ช้อนโต้ะ,,,,,,,,,,,,,,,,
2,ยำ,ส้มตำถั่วฝักยาว,ถั่วฝักยาว 4-5 ฝัก นำมาหั่นเป็นท่อนๆพอดีคำ,กระเทียม 3 กลีบ,พริกแห้ง 3 เม็ด,พริกขี้หนูสวน 3 เม็ด,น้ำตาลปี๊บ 1 ช้อนโต้ะ,น้ำปลา 1 ช้อนโต้ะ,น้ำมะนาว 1 ช้อนโต้ะ,ปราร้า 1 ช้อนโต้ะ,มะเขือเทศ 2 ลูก นำมาหั่นเป็นชิ้นๆ,,,,,,,,,,,,,,,,,
3,ยำ,ส้มตำกรอบ,กุ้งสด 4-5 ตัว แกะเปลือกและผ่าเส้นที่หลังออก,มะละกอดิบ ขูดเป็นเส้น 1 จาน,แครอท ขูดเป้นเส้น 1/2 จาน,ถั่วฝักยาวหั่นเป็นท่อนๆ 3 ช้อนโต้ะ,แป้งอเนกประสงค์ 1 ถ้วย,น้ำโซดาแช่เย็น 1/2 ถ้วยตวง,น้ำปลา 2 ช้อนโต๊ะ,น้ำตาลปี๊บ 1 ช้อนโต๊ะ,น้ำมะนาว 1 ช้อนโต๊ะ,มะเขือเทศหั้นเป็นชิ้นๆ 2 ลูก,กุ้งแห้ง 1 ช้อนโต้ะ,ถั่วลิสงคั่ว 1 ช้อนโต้ะ,พริกขี้หนูสวน 5 เม็ด,กระเทียมสด 3 กลีบ,,,,,,,,,,,,
4,ยำ,น้ำพริกกบ,กบ 1 ตัว,พริกขี้หนูสวน 10 เม็ด,กระเทียม 5 กลีบ,หอมแดง 3 หัว,ข่าซอย 1 ช้อนโต้ะ,มะเขือยาว 1 ลูก,เกลือ 1 ช้อนชา,น้ำตาลปี๊บ 1 ช้อนโต้ะ,,,,,,,,,,,,,,,,,,
5,ยำ,ก้อยไข่มดแดง,ไข่มดแดง 1 จาน,มะม่วงดิบซอย 1 ลูก,ใบสาระแหน่ 2 – 3 ใบ,น้ำมะนาว 1 ช้อนโต๊ะ,น้ำปลา 1 ช้อนโต๊ะ,ข้าวคั่ว 1 ช้อนโต๊ะ,พริกป่น 1 ช้อนโต้ะ,ผักชีฝรั่งซอย 1 ช้อนโต๊ะ,หอมแดงซอย 1 หัว,,,,,,,,,,,,,,,,,
6,ยำ,ส้มตำไหลบัว,ไหลบัว หั่นเฉียงๆ 2 ไหล,แครอทดิบ ขูดเป็นเส้น 1 กำมือ,ถั่วฝักยาว 1 เส้น หั่นเป็นท่อนๆขนาดพอดีคำ,น้ำปลา 2 ช้อนโต๊ะ,น้ำตาลปี๊บ 1 ช้อนโต๊ะ,น้ำมะนาว 1 ช้อนโต๊ะ,มะเขือเทศ 2 ลูก หั้นเป็นชิ้นๆ,กุ้งแห้ง 1 ช้อนโต้ะ,ถั่วลิสงคั่ว 1 ช้อนโต้ะ,พริกขี้หนูสวน 5 เม็ด,กระเทียมสด 3 กลีบ,,,,,,,,,,,,,,,
7,ยำ,ยำดอกอัญชันหมูสับ,ดอกอัญชัน 20-30 ดอก,หมูสับ 3 ช้อนโต้ะ,หอมแดง 1 ลูก นำมาซอย,พริกขี้หนูสวน 8-10 เม็ด นำมาซอย,กระเทียมเจียว 1 ช้อนโต้ะ,หอมแดงเจียว 1 ช้อนโต้ะ,ถั่วลิงสงคั่ว 2 ช้อนโต้ะ,น้ำพริกเผา 1 ช้อนโต้ะ,น้ำตาลปี๊บ 1 ช้อนโต้ะ,น้ำปลา 2 ช้อนโต้ะ,น้ำมะนาว 2 ช้อนโต้ะ,แป้งทอดกรอบ 3 ช้อนโต้ะ ผสมน้ำ 3 ช้อนโต้ะ,,,,,,,,,,,,,,
8,ยำ,แสร้งว่ากุ้ง,กุ้งแม่น้ำ 3-4 ตัว,ตะไคร้ซอย 2 ช้อนโต้ะ,หอมแดงซอย 2 ช้อนโต้ะ,พริกขี้หนูสวน 2 ช้อนโต้ะ ซอยเฉียงๆ,ใบมะกรูดซอย 2 ช้อยนโต้ะ,ขิงซอย 2 ช้อนโต้ะ,น้ำพริกเผา 1 ช้อนโต้ะ,น้ำตาลทราย 2 ช้อนโต้ะ,น้ำปลา 2 ช้อนโต้ะ,น้ำมะนาว 2 ช้อนโต้ะ,,,,,,,,,,,,,,,,
9,ยำ,ปลานิลลุยสวน,ปลานิล 1 ตัว,พริกขี้หนูสวน 10 เม็ด นำซอย,น้ำมะนาว 2 ช้อนโต๊ะ,น้ำตาลปัี๊บ 2 ช้อนโต๊ะ,น้ำปลา 2 ช้อนโต๊ะ,ผักชีฝรั่ง 1 ต้นนำซอย,ขิงอ่อน 3 ช้อนโต้ะ นำมาซอยเป็นเส้น,ผักชี 1 ต้น ซอย,ใบสะระแหน่ 4 – 5 ใบ,ตะไคร้ 1 ต้น นำมาซอยเล็กๆ,หอมหัวแดง 2 หัว นำมาซอย,มะนาว 1 ลูก นำมาหั่นเต๋า,ถั่วลิงสงคั่ว 2 ช้อนโต้ะ,น้ำมันพืชสำหรับทอดปลา,น้ำพริกเผา 1 ช้อนชา,แป้งข้าวโพด 3 ช้อนโต้ะ,พริกแห้งทอด,ผักต่างๆที่ทานคู่กับปลาช่อนทอดตามใจชอย เช่น ผัดกาดขาว ผักชีฝรั่ง ต้นหอม ผักชีฝรั่ง,,,,,,,,
