Column1,Type_Food,Name_Food,ingredint0,ingredint1,ingredint2,ingredint3,ingredint4,ingredint5,ingredint6,ingredint7,ingredint8,ingredint9,ingredint10,ingredint11,ingredint12,ingredint13,ingredint14,ingredint15,ingredint16,ingredint17,ingredint18,ingredint19,ingredint20,ingredint21,ingredint22,ingredint23,ingredint24,ingredint25
0,ต้ม,หย่าเก่ย,เนื้อส่วนขาหมู,ข่า ,ตะไคร้,ใบมะกรูด,กะปิ,น้ำตาล,ซอสน้ำมันหอย,น้ำปลา,เต้าเจี้ยว,เหล้าขาว,น้ำเปล่า,,,,,,,,,,,,,,,
1,ต้ม,แกงผักปั๋งใส่แหนม,ยอดอ่อนผักปั๋ง,แหนม,พริกหนุ่ม,หอมแดง,มะเขือเทศ,กระเทียม,กะปิ,ปลาร้า,มะนาว,เกลือ,ต้นหอม,ผักชี,น้ำซุปหมู,,,,,,,,,,,,,
2,ต้ม,แกงจืดไข่ม้วน,หมู,ไข่ไก่,วุ้นเส้น,ซอสปรุงรส,พริกไทยป่น,เห็ดหูหนูแห้ง,น้ำซุปกระดูกหมู,ผักกาดขาว,แครอท,เห็ดหอม,ต้นหอม,ผักขึ้นฉ่าน,เต้าหู้ไข่,,,,,,,,,,,,,
3,ต้ม,หมูหนาว,ขาหมู,หอมหัวใหญ่,เห็ดหูหนูแห้ง,พริกไทย,รากผักชี,เกลือ,,,,,,,,,,,,,,,,,,,,
4,ต้ม,ต้มจืดมะระซี่โครงหมู,ซี่โครงหมู,มะระจีน,เห็ดหอม,เกลือ,น้ำเปล่า,กุ้งแห้ง,คื่นฉ่าย,ผักชี,พริกไทยแห้ง,กระเทียม,,,,,,,,,,,,,,,,
5,ต้ม,ต้มยำขาหมู,ขาหมู,ตะไคร้,พริกขี้หนู,เห็ดฟาง,ใบมะกรูด,หอมแดง,ข่า ,น้ำมะขามเปียก,น้ำปลา,มะนาว,ผักชีฝรั่ง,น้ำเปล่า,,,,,,,,,,,,,,
6,ต้ม,ขนมจีนน้ำใส,หมูยอดิบ,วุ้นเส้น,ต้นหอม,เห็ดหูหนูแห้ง,พริกไทยป่น,ซอสปรุงรส,กระดูกเล้ง,ซี่โครงหมู,น้ำปล่า,เกลือ,หอมหัวใหญ่,ขนมจีน,ผักสด,,,,,,,,,,,,,
7,ต้ม,กระเพาะหมูตุ๋นพริกไทยดำ,เห็ดหอม,กระเพราะหมู,พริกไทย,ซอสปรุงรส,คื่นฉ่าย,ไข่นกกระทา,ผักชี,น้ำซุป,,,,,,,,,,,,,,,,,,
8,ต้ม,แกงมะเขือเทศหมูสับ,หมูสับ,มะเขือเทศ,ซอสปรุงรส,กระเทียม,เกลือ,น้ำตาล,พริกไทย,น้ำซุปกระดูกหมู,ไข่ไก่,ผักสด,น้ำซุปหมู,น้ำมันพืช,,,,,,,,,,,,,,
9,ต้ม,แกงจืดเต้าหู้หมูสับ,ผักตำลึง,คื่นฉ่าย,หมูสับ,มันหมู,กระเทียม,พริกไทย,ซอสน้ำมันหอย,ซอสปรุงรส,น้ำปลา,เต้าหู้ไข่,แครอท,ต้นหอมเป็นท่อน,ผักกาดขาว,สาหร่าย,กระเทียมเจียว,น้ำซุปกระดูกหมู,,,,,,,,,,
10,ต้ม,ไข่พะโล้,ไข่เป็ด,น้ำมันพืชสำหรับผัด,หมูสามชั้น,พริกไทย,รากผักชี,กระเทียม,อบเชย,โป๊ยกั๊ก,เต้าหู้,น้ำปลา,ซอสถั่วเหลือง,น้ำตาล,น้ำเปล่า,,,,,,,,,,,,,
11,ต้ม,แกงจืดสับปะรดกระดูกอ่อน,สับปะรด,ซี่โครงหมูอ่อน,แครอท,กุ้งแห้ง,เม็ดตั้งฉ่าย,ต้นหอม,ผักชี,เกลือ,ซอสถั่วเปลือง,เต้าหู้ไข่,น้ำซุปกระดูกหมู,กระดูกเล้ง,,,,,,,,,,,,,,
12,ต้ม,ต้มแซ่บกระดูกอ่อน,ซี่โครงหมู,ข่า ,มะเขือเทศ,น้ำตาลปี๊บ,ตะไคร้,ผักชีฝรั่ง,หอมหัวใหญ่,ใบมะกรูด,น้ำมะขามเปียก,น้ำปลา,พริกสด,พริกป่น,,,,,,,,,,,,,,
13,ต้ม,แกงจืดฟักซี่โครงหมู,ซี่โครงหมู,ฟักเขียวอ่อน,แครอท,เห็ดหอม,เกลือ,ซอสถั่วเหลือง,รากผักชี,พริกไทย,กระเทียม,น้ำปล่า,,,,,,,,,,,,,,,,
14,ต้ม,ขนมจีนน้ำพริก,กุ้ง,หอมแดง,พริกแห้ง,ข่า ,น้ำตาลปี๊บ,น้ำมะกรูด,ถั่วเขียว,กระเทียม,รากผักชี,หอมแดงเจียว,กระเทียมเจียว,น้ำปลา,น้ำมะขามเปียก,หัวกะทิ,หางกะทิ,พริกป่น,น้ำมันพืช,ขนมจีน,ผักสด,,,,,,,
15,ต้ม,ต้มเค็มฟักกับหมูสามชั้น,ฟักเขียว,หมูสามชั้น,กะปิ,น้ำตาลปี๊บ,ซอสถั่วเหลือง,ซอสหอยนางรม,รากผักชี,หอมแดง,น้ำมันพืช,น้ำเปล่า,,,,,,,,,,,,,,,,
16,ต้ม,แกงรัญจวน,ซี่โครงหมู,หอมแดง,กระเทียม,พริกสด,ตะไคร้,ใบโพระพา,มะนาว,เกลือ,น้ำพริกกะปิ,,,,,,,,,,,,,,,,,
