Column1,Name_Food,Type_Food,Method1,Method2,Method3,Method4,Method5,Method6,Method7,Method8,Method9,Method10,Method11,Method12,Method13,Method14,Method15,Method16,Method17,Method18
0,ยำสตรอว์เบอรี่กุ้งสด,ยำ,เตรียมหม้อต้ม นำ กุ้ง วุ้นเส้น และ หมูสับ ลงไปลวกให้สุก,จากนั้นนำ อาหาร ที่ลวกแล้ว มาใส่ถ้วยสำหรับปรุง อาหารยำ ลงไป ใส่ สตรอเบอร์รี่ มะเขือเทศ หอมใหญ่ ต้นหอม พริกสด น้ำตาล น้ำปลา และน้ำมะนาว ผสมให้ส่วนผสมเข้ากัน เสริฟทานกับผักสด กับข้าว ง่ายๆตาม ร้านอาหารไทย ,กุ้ง ให้เลือกกุ้งที่สดๆ การเลือกกุ้งสดๆ ให้เลือกที่กุ้งที่สมบูรณ์ เปลือกกุ้งไม่ออกจากเนื้อกุ้ง เนื้อกุ้งแน่น หัวไม่หลุดจากตัว ไม่มีกลิ่นเน่า,วุ้นเส้น ให้นำไปแช่น้ำก่อน และนำไปลวกด้วยน้ำเดือดๆ ไม่ต้องลวกนาน เดียวเส้นจะหมดความเหนียว นุ่ม,หมูสับ ให้เลือกเนื้อหมูสันใน เนื่องจากเป็นส่วนที่นุม การสับหมู ไม่ต้องสับให้ละเอียดเกินไป เนื่องจากจะไม่ได้สัมผัสของหมู,น้ำที่ใช้ในการปรุงน้ำยำให้เลือกใช้ น้ำซุปกระดูก ความหวานกลมกล่อมของน้ำซุป จะทำให้น้ำยำอร่อยมากขึ้น,น้ำมะนาว ในการปรุงรสน้ำยำ ให้ใช้น้ำมะนาวคั้นสดๆ ซึ่งมะนาวคั้นสดๆ จะให้ความหอมแบบธรรมชาติ,พริกสด ให้เลือกใช้ พริกขี้หนูสวน จะให้รสเผ็ดขณะที่สีสันไม่แดงเกินไป,,,,,,,,,,
1,น้ำพริกหมูกรอบ,ยำ,เริ่มจากการเตรียมหมูกรอบก่อน โดย นำหมูกรอบมาหมัก ด้วย รากผักชี กระเทียม และ พริกไทย จากนั้นนำ หมูสามชั้นไปนึ่งให้สุกก่อน,นำหมูสามชั้นมาพัก ตากลมให้หนังแห้งก่อน จากนั้น นำไปทอด โดยการตั้งกระทะน้ำมันให้ร้อน จากนั้นนำน้ำมันราดที่หมูสามชั้น ให้ผิวหมูสามชั้นตึง และ นำมาพักเอาไว้ก่อน รอจนเย็น จึงนำหมูสามชั้นลงไปทอดอีกครั้ง โดยการทอดเฉพาะสวนหนัง ให้กรอบ และ ไขมันใต้ผิวหนังนุ่ม เทคนิคการทอด คือ ทอดและพักให้เย็น เมื่อได้หมูกรอบที่ได้ที่ ให้นำมาหั่นเป็นชิ้นขนาดพอดีคำ,เตรียมโขรก นำ พริกแห้ง หอมแดง กระเทียม และ กุ้งแห้ง มาโขรกรวมกันให้ละเอียด จากนั้นนำมาพักไว้ก่อน,ตั้งกระทะเปิดไฟให้ร้อน จากนั้นใส่น้ำมัน เครื่องแกงที่โขรกเอาไว้แล้ว และ พริกแกงเผ็ด ลงไปผัด ให้สุุกโดยพริกแกงจะส่งกลิ่นหอม,จากนั้นจึงปรุงรสด้วย น้ำตาล น้ำปลา และ น้ำมะขามเปียก,ใส่ หมูกรอบ และ ใบมะกรูด ลงไปผัดให้เข้ากัน เพียงเท่านี้ก็เสริฟ ใส่ชามพร้อมรับประทานกับข้าวสวยร้อนๆ,กุ้งแห้ง สหรับนำมาทำน้ำพริก ให้ใช้กุ้งแห้งอย่างดี ให้นำไปล้างน้ำให้สะอาด และ นำไปอบให้แห้ง จะได้กุ้งแห้งสีจางหน่อย แต่สะอาด ไม่มีสิ่งเจือปน,การเลือกหมูสามชั้นสำหรับนำมาทำหมูกรอบ ให้เลือกหมูสามชั้นส่วนสันคอ ที่มี มันหมู 2 ส่วน เนื้อหมู 8 ส่วน และ หนังหมูไม่หนาเกินไป,การทำหมูกรอบ ต้องผ่านการนึ่ง การหมัก การย่าง และ การทอด หมูที่เหมาะสำหรับนำมาทหมูกรอบ เป็น หมูสามชั้น ที่มี อัตราส่วนของ เนื้อหมู 8 ส่วน และ มันหมู 2 ส่วน นำมีดโกนมาขูดหนังหมูออกให้ไม่มีขน หมักหมูด้วย รากผักชี กระเทียม พริกไทย ผงพะโล้ ซอสปรุงรส นำไปนุ่งให้สุก และ พักให้หนังแห้ง จากนั้นนำไปย่างให้สุก และ หนังกรอบ และ สุดท้ายหากหนังไม่กรอบก็นำหนังลงไปทอดซ้ำ,กระเทียม สำหรับ ทำน้ำพริก เลือกใช้กระเทียมไทย ซึ่งกระเทียมไทย มีความหอม หวาน เหมาะสำหรับนำมาทำน้ำพริก,น้ำตาล ใช้ น้ำตาลปี๊บ ความหวานของน้ำตาลปี๊บ เหมาะสำหรับนำมาทำน้ำพริก,การผัดพริกแกงเผ็ด ต้องผัดให้สุก แต่ระวังพริกแกงไหม้ การสังเกตุว่าพริกแกงสุกหรือไม่ ดูจากกลิ่นที่หอมแสดงว่าใช่งานได้,แกนกลางใบมะกรุด เป็นส่วนที่ขม การนำใบมะกรูดมาทำอาหาร ให้เอาแกนใบออก และ ซอยละเอียดๆ,,,,,
2,ส้มตำถั่วฝักยาว,ยำ,เตรียมครก โดยนำ กระเทียม  พริกแห้ง และ พริกขี้หนูสวน ลงไปโขรกให้ละเอียดก่อน,จากนั้น ปรุงรสด้วย น้ำตาลปี๊บ น้ำปลา น้ำปลาร้า และ น้ำมะนาว คลุกเคล้าให้ส่วนผสมทั้งหมดเข้ากัน ชิมรสชาติให้รสชาติที่ต้องการ,จากนั้นใส่ ถั่วฝักยาว ลงไปโขรกให้พอบุบ อย่าให้ละเอียด ให้เหลือชิ้นของถั่วฝักยาว,หั่นมะเขือเทศลงไป คลุกเคล้าให้ส่วนเข้ากัน เพียงเท่านี้ก็ได้ ส้มตำแสนอร่อย ท่านสามารถใส่เครื่องอื่นๆได้ เช่น ถั่วลิสงคั่ว เนื้อสัตว์ต่างๆ ตามใจชอบ,,,,,,,,,,,,,,
3,ส้มตำกรอบ,ยำ,เริ่มต้นจากนำเส้นมะละกอและเส้นแครอทไปแช่เย็นให้กรอบๆก่อน,เตรียมแป้งสำหรับทอดกรอบ นำแป้งอเนกประสงค์ ผสมน้ำโซดาเย็นๆ เคล็ดลับ คือ น้ำโซดาเย็นๆ จะทำให้เส้นฟูกรอบอร่อย,นำเส้นมะละกอและเส้นแครอท คลุกเคล้าแป้งสำหรับทอดกรอบ,ตั้งกระทะน้ำมันให้ร้อน จากนั้นนำเส้นมะละกอและเส้นแครอท ลงไปทอด ให้ฟูเหลืองกรอบ จากนั้นนำมาพักให้สะเด็ดน้ำมัน และ นำมาจัดใส่จาน เตรียมพร้อมสำหรับน้ำยำ,นำ กุ้งสด ที่เตรียมไว้มาลวกให้สุก และนำมาพักเอาไว้ก่อน,เริ่มทำ้ำยำส้มตำโดย โขรก กุ้งแห้ง พริกชี้หนูสวน และ กระเทียม ให้พริกและกระเทียมแหลกก่อน,จากนั้นใส่ ถั่วฝักยาว ลงไปโขรก โดยโขรกให้พอบุบ,จากนั้นปรุงรสด้วย น้ำตาลปี๊บ น้ำปลา และ น้ำมะนาว ผสมให้ส่วนผสมละลาย ชิมรสชาติตามใจชอบ,ใส่ กุ้งลวก มะเขือเทศ และ ถั่วลิสงคั่ว ลงไปคลุกให้ทั่วน้ำยำ เพียงเท่านี้ก็เสริฟใส่จากได้ ทานคู่กับผักสดๆ ข้าวเหนียว และไก่ย่าง,การเลือกมะละกอ ให้ใช้มะละกอดิบ ทำเป็นเส้นมะละกอด้วยการสับและหั่น จะได้เส้นมะละกอที่มีขนาดไม่เท่ากัน จะได้รสชาติของเส้นมะละกอนที่มีรสชาติ หากใช้เครื่องขูดแบบเป็นเส้น จะได้เส้นที่มีขนาดเล็กและเท่ากัน รสชาติของมะละกอจะไม่ดีเท่าแบบสับมือ,เนื้อกุ้ง สุกง่าย ให้นำมาลวกให้สุก โดยเทคนิค คือ ลวกกุ้งไม่ให้สุกมาก จะได้กุ้งหวานนุ่ม อร่อยๆ ไม่แข็งกระด้าง,เทคนิคการทอดให้แป้งกรอบ คือ การใช้น้ำเย็น น้ำเย็นจะทำให้แป้งฟูเหลืองกรอบ,การเสริฟ ส้มตำกรอบ แนะนำให้เสริฟแยกเส้นและน้ำยำ เนื่องจาก น้ำยำจะทำให้แป้งทอดนุ่มและไม่อร่อยกรอบ เวลาทานให้นำน้ำยำมาราดจะได้ความอร่อยๆและเส้นกรอบ,การเลือกมะเขือ สำหรับเมนูส้มตำ สามารถใช้มะเขือเทศ หรือมะเขือเทศราชินีก็จะอร่อยไปอีกแบบ โดยใช้การคลุก และไม่ต้องโขรกให้แตก เนื่องจากมะเขือราชินี จะมีขนาดเล็ก รสชาติหวาน สามารถกินเล่นสดๆได้ และสีสันสวย,ถั่วลิงสงคั่ว ที่ใช้ในการทำส้มตำ ให้เลือกใช้ถั่วลิสงเองแบบสดๆ ไม่แนะนำให้ซื้อถั่วคั่วสำเร็จรูปจากตลาด เพราะ ถั่วลิสง หากทำไม่ดี จะมีกลิ่นหื่น และไม่สด รสชาติไม่อร่อย,พริกสำหรับนำมาทำส้มตำ ให้ใช้พริกขี้หนูสวน ผสมกับพริกชี้ฟ้า เนื่องจากพริกขี้หนูสวน มีรสเผ็ด และพริกชี้ฟ้าจะได้สีสันที่สวยงาม,กระเทียมสำหรับทำส้มตำ ให้ใช้กระเทียมไทย เนื่องจากกระเทียมไทย มีกลีบเล็ก และมีกลิ่นหอมมากกว่ากระเทียมจีน,กุ้งแห้ง ให้ใช้กุ้งตัวใหญ่ โดยการเคชตรียมเนื้อกุ้งให้นำไปนึ่งให้กุ้งสุดล้างให้สีส้มออก เพื่อล้างสารตกค้างในกุ้งออก จะทำให้เพิ่มความสะอาดและอร่อยในกุ้งแห้งได้
4,น้ำพริกกบ,ยำ,เริ่มจากการล้างกบให้สะอาด นำไปย่างให้สุก จากนั้นแกะเอาเฉพาะเนื้อกบ และนำมาพักเอาไว้ก่อน,นำพริกขี้หนูสวน หอมแดง กระเทียม และ มะเขือยาวมาเผา ให้หอม,เตรียมครก ใส่ พริกขี้หนูสวน กระเทียม หอมแดง ข่า และ มะเขือยาว โขรกให้ละเอียดเข้ากัน,จากนั้นนำมาปรุงรสในครกด้วย น้ำตาลปี๊บ และ เกลือป่น,"ใส่เนื้อกบย่างลงไปคลุกเคล้า ให้เข้ากับส่วนผสมของน้ำพริก เพียงเท่านี้ก็เสร็จสิ้น เสริฟน้ำพริกกบทานกับผักสดหรือข้าวหุงสุก ร้อนๆ กับข้าวไทย เมนูน้ำพริก
",กบ สำหรับการเลือกกบในหารนำมาทำน้ำพริก ให้เลือกกบตัวโตๆ ขาใหญ่ๆ เพราะ ขากบเป็นส่วนที่มีเนื้อมากที่สุด ให้เลือกกบสดๆ ลอกหนังออก ล้างให้สะอาด อย่าให้เหลือเมือก ที่ผิวกบ นำไปย่างให้สุก และแกะเนื้อออกมาสำหรับเตรียมโขรกน้ำพริก,สำหรับ พริกขี้หนูสวน หอมแดง มะเขือยาว และ กระเทียม ให้นำไปย่างหรือคั่วในกระทะก่อย เพื่อให้สมุนไพร ให้กลิ่นหอม,หอมแดงและกระเทียม เมื่อโดนความร้อน จะให้เกิดความหวาน,พริกขี้หนูสวนหากโดนความร้อนจะลดกลิ่นเหม็นเขียวของพริก,มะเขือยาว ให้นำไปเผาเพื่อให้เนื้อมะเขือนิ่ม เวลานำมาโขรกจะได้เนื้อน้ำพริกที่เนียนๆ,ข่า เนื่องจากเนื้อข่าแข็ง ก่อนนำมาโขรกน้ำพริกให้ซอยแบบละเอียด,น้ำตาล ที่เหมาะสำหรับนำมาทำน้ำพริก คือ น้ำตาลปี๊บ เนื่องจากมีความหวานที่พอดี เหมาะสำหรับอาหารไทย,,,,,,
5,ก้อยไข่มดแดง,ยำ,เริ่มจากการล้างไข่มดแดงก่อน ล้างให้สะอาด และ นำมาสะเด็ดน้ำให้แห้งก่อน,จากนั้น นำไข่มดแดงใส่ถ้วยสำหรับปรุงยำ ใส่ ข้าวคั่ว น้ำปลา น้ำมะนาว และ พริกป่น ผสมให้ส่วนผสมละลายเข้ากัน,ใส่ มะม่วงซอย หอมแดง ผักชีฝรั่ง ลงไปผสมกับน้ำยำ,เสริฟใส่จาน โรยหน้าด้วยใบสาระแหน่ ทานคู่กับผักสดๆตามใจชอบและข้าวเหนียว อร่อยๆ,,,,,,,,,,,,,,
6,ส้มตำไหลบัว,ยำ,เริ่มจากการเตรียมไหลบัวก่อน ต้มน้ำให้เดือด จากนั้นนำไหลบัวลงไปลวกให้สุกก่อน,เริ่มทำส้มตำโดย โขรก กระเทียม และ พริกขี้หนูสวนให้ละเอียดก่อน,ปรุงรสด้วย น้ำปลา น้ำตาลปี๊บ และ น้ำมะนาว,ใส่กุ้งแก้งลงไปโขลกให้บุบ จากนั้นจึงใส่ถั่วฝักยาวลงไปโขรก พอบุบ เช่นกัน,ใส่ มะเขือเทศ ไหลบัว แครอท และ ถั่วลิสงคั่ว ลงไปคลุกเคล้ากับน้ำยำ เพียงเท่านี้ก็สามารถเสริฟใส่จากได้ ส้มตำไหลบัว ทานคู่กับผักสดๆ ข้าวเหนียว และ ไก่ย่าง,การเลือกไหลบัว ให้เลือกไหลบัวสดๆ ไหลอ่อนๆ เมื่อได้มาให้ล้างให้สะอาดก่อน จึงนำมาทำอาหาร,การเตรียมไหลบัวสำหรับนำมาทำอาหาร ให้นำไปลวกให้สุกก่อน โดยเทคนิคการลวกไหลบัว ต้องใช้น้ำเดือดๆ จะทำให้ไหลบัวไม่เปลี่ยนสี เมื่อลวกสุกแล้ว ให้นำมาแช่น้ำเย็นก่อน นำมาทำอาหาร,การเลือกมะเขือ สำหรับเมนูส้มตำ สามารถใช้มะเขือเทศ หรือมะเขือเทศราชินีก็จะอร่อยไปอีกแบบ โดยใช้การคลุก และไม่ต้องโขรกให้แตก เนื่องจากมะเขือราชินี จะมีขนาดเล็ก รสชาติหวาน สามารถกินเล่นสดๆได้ และสีสันสวย,ถั่วลิงสงคั่ว ที่ใช้ในการทำส้มตำ ให้เลือกใช้ถั่วลิสงเองแบบสดๆ ไม่แนะนำให้ซื้อถั่วคั่วสำเร็จรูปจากตลาด เพราะ ถั่วลิสง หากทำไม่ดี จะมีกลิ่นหื่น และไม่สด รสชาติไม่อร่อย,พริก สำหรับนำมาทำส้มตำ ให้ใช้พริกขี้หนูสวน ผสมกับพริกชี้ฟ้า เนื่องจากพริกขี้หนูสวน มีรสเผ็ด และพริกชี้ฟ้าจะได้สีสันที่สวยงาม,กระเทียม สำหรับทำส้มตำ ให้ใช้กระเทียมไทย เนื่องจากกระเทียมไทย มีกลีบเล็ก และมีกลิ่นหอมมากกว่ากระเทียมจีน,กุ้งแห้ง ให้ใช้กุ้งตัวใหญ่ โดยการเคชตรียมเนื้อกุ้งให้นำไปนึ่งให้กุ้งสุดล้างให้สีส้มออก เพื่อล้างสารตกค้างในกุ้งออก จะทำให้เพิ่มความสะอาดและอร่อยในกุ้งแห้งได้,,,,,,
7,ยำดอกอัญชันหมูสับ,ยำ,"
","เริ่มจากการทำดอกอัญชันกรอบก่อน โดย เตรียมแป้งทอดกรอบผสมน้ำเย็น ละลายให้แป้งเข้ากับน้ำ และ นำดอกอัญชัญมาชุปแป้ง
","ตั้งกระทะน้ำมัน ให้น้ำมันร้อน และ ไฟอ่อน นำดอกอัญชัันชุปแป้งลงไปทอด ให้เหลืองกรอบ จากนั้นนำมาพักให้เย็นและสะเด็ดน้ำมัน
","ตั้งห้อมต้มน้ำ จากนั้นเนื้อหมูสับลงไปลวกให้สุก
","ใส่เนื้อหมูสับลงไปในชามปรุงน้ำยำ ใส่ น้ำพริกเผา น้ำตาล น้ำปลา พริกขี้หนูสวน ถั่วลิงสงคั่ว หอมแดง และ น้ำมะนาว ผสมให้ส่วนผสมละลายเข้ากัน
","จากนั้น นำดอกอัญชันทอดกรอบ จัดใส่จาน ราดน้ำยำลงไป และ โรยหน้าด้วย หอมเจียวและกระเทียมเจียว เพียงเท่านี้ก็พร้อมรับประทาน
",,,,,,,,,,,,
8,แสร้งว่ากุ้ง,ยำ,เริ่มจากการนำกุ้งแม่น้ำ ไปย่างให้สุก จากนั้นแกะเปลือก และ นำเนื้อกุ้งมาหั่นเป็นชิ้นขนาดพอดีคำ,เตรียมปรุงน้ำยำ โดย ใส่ น้ำพริกเผา น้ำปลา น้ำตาลทราย และ น้ำมะนาว ให้ส่วนผสมละลายเข้ากัน,ใส่ เนื้อกุ้งย่าง ขิง ตะไคร้ ใบมะกรูด พริกขี้หนูสวน และ เนื้อกุ้ง นำมาคลุกเคล้ากับน้ำยำให้ส่วนผสมเข้ากัน,เสริฟ ยำใส่จาน จัดหน้าให้สวยงาม พร้อมรับประทาน,กุ้งแม่น้ำ ให้เลือกกุ้งตัวโตๆหน่อย จะได้เนื้อมากๆ และ เลือกกุ้งที่สดใหม่ โดย เทคนิคการเลือกกุ้ง ให้เลือกกุ้งที่มีความสมบรูณ์ เปลือกไม่หลุดจากตัว หัวไม่หลุด เนื้อแน่น และ ไม่มีกลุ่นเน่า,เทคนิคการทำอาหารประเภทกุ้ง เนื่องจากเนื้อกุ้ง หากทำให้สุกเกินไป เนื้อกุ้งจะแข็งกระด้าง ไม่น่ารับประทาน การทำเนื้อกุ้ง ให้ย่างให้สุกพอประมาณ ไม่ให้กุ้งสุกเกินไป,เนื้อกุ้งให้หั่นให้มีขนาดพอดีคำ เพื่อความสะดวกในการรับประทาน,สำหรับคนที่ไม่ชอบกินเผ็ด สามารถเอาพริกออกจากส่วนผสมได้,ใบมะกรูด ส่วนแกนใบเป็นส่วนที่มีรสขม ให้นำแกนใบออกก่อน และ ส่วนเนื้อใบมะกรูด เป็นส่วนที่ให้กลิ่นหอม ให้นำมาซอยให้ออกกลิ่นหอม,รสชาติของน้ำยำ เมนูนี้ จะ หอม หวาน เค็ม เปรี้ยว และ อ่อนเผ็ด,,,,,,,,
9,ปลานิลลุยสวน,ยำ,เริ่มจากล้างปลาให้สะอาด ขอดเกร็ด จากนั้นนำปลามาแล่ เอาเฉพาะ เนื้อปลานิล,นำเนื้อปลามาชุปแป้งข้าวโพด จากนั้นตั้งกระทะน้ำมันให้ร้อน โดยใช้ไฟปานกลาง นำเนื้อปลานิลลงไปทอด ให้เหลืองกรอบ จากนั้นนำมาพักให้สะเด็ดน้ำมัน,เตรียมน้ำยำ โดยผสม พริกขี้หนูสวน น้ำมะนาว น้ำพริกเผา น้ำตาลปี๊บ น้ำปลา ผสมให้ส่วนผสมละลายเข้ากัน,ใส่ ตะไคร้ซอย เนื้อมะนาวหั่น พริกแห้งทอด ขิงอ่อน ใบสะระแหน่ ผักชีฝรั่ง ผสมคลุกเคล้ากับน้ำยำ,เตรียมจาน วางปลานิลทอดลงบนจาน ราดด้วยน้ำยำและเครื่องเคียงที่ทำไว้ก่อนหน้านี้ โรยถั่วลิสงคั่ว เพียงเท่านี้ก็เสร็จ พร้อมรับประทาน,ปลานิล ให้เลือกปลาตัวปานกลาง ไม่ใหญ่ และ ไม่เล็กเกินไป ขนาดตัวประมาณ 5 ขีด โดยการเลือกซื้อปลานิล ที่สดๆ คือ ให้ดูที่ลักษณะของตัวปลาสมบูรณ์ เหงือกชมพูสด ตาปลาใส เนื้อแน่นตึง ไม่มีกลิ่นเน่า,การเตรียมเนื้อปลา ขั้นตอนที่สำคัญ คือ การล้างปลา หากล้างปลาได้สะอาด จะช่วยให้ปลาไม่คาว การล้างปลาให้สะอาด ใ้ดเอาไส้ออก ล้างเลือดและเมือกออกให้หมด ให้ใช้เกลือถูที่ตัวปลาปลา จะทำให้เมือกปลาหาย,เทคนิคการทอดปลา โดยไม่ให้ติดกระทะ ให้คลุกเกลือที่ผิวปลา ก่อนนำไปทอด โดยทอดในน้ำมันที่ท่วมตัวปลา,น้ำมัน สำหรับการทอดปลา ให้ใช้น้ำมันใหม่ โดยใช้น้ำมันที่ร้อน ระดับไฟปานกลาง จะทำให้เนื้อปลาไม่อมน้ำมัน และกรอบนอกนุ่มใน,มะนาว ที่ใช่ในการใส่ในน้ำยำ ให้ใช่มะนาวผิวบาง เวลากินจะง่าย,น้ำพริกเผา จะเพิ่มความหอม ให้น้ำยำ หากไม่ชอบสามารถเอาออกได้,,,,,,,
